URL to be reported,Category of URL,Report reason,Additional details
https://library.tiktok.com/ads/detail/?ad_id=1847951172351234,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Σταύρου Μάριος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-11-05; last shown: 2025-11-07 · Advertiser handle: @marios_stavrou_ · Detected via TikTok Research API ad_id=1847951172351234"
https://library.tiktok.com/ads/detail/?ad_id=1848242818281601,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Σταύρου Μάριος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-11-08; last shown: 2025-11-11 · Advertiser handle: @marios_stavrou_ · Detected via TikTok Research API ad_id=1848242818281601"
https://library.tiktok.com/ads/detail/?ad_id=1848425507571714,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Σταύρου Μάριος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-11-10; last shown: 2025-11-12 · Advertiser handle: @marios_stavrou_ · Detected via TikTok Research API ad_id=1848425507571714"
https://library.tiktok.com/ads/detail/?ad_id=1856482056231937,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Τσίτσης Γιάννης (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-07; last shown: 2026-02-08 · Advertiser handle: @tsitsis_channel · Detected via TikTok Research API ad_id=1856482056231937"
https://library.tiktok.com/ads/detail/?ad_id=1857097820067970,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Τσίτσης Γιάννης (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-14; last shown: 2026-02-15 · Advertiser handle: @tsitsis_channel · Detected via TikTok Research API ad_id=1857097820067970"
https://library.tiktok.com/ads/detail/?ad_id=1859214520377345,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Τσίτσης Γιάννης (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-09; last shown: 2026-03-10 · Advertiser handle: @tsitsis_channel · Detected via TikTok Research API ad_id=1859214520377345"
https://library.tiktok.com/ads/detail/?ad_id=1860858444461506,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Τσίτσης Γιάννης (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-27; last shown: 2026-03-28 · Advertiser handle: @tsitsis_channel · Detected via TikTok Research API ad_id=1860858444461506"
https://library.tiktok.com/ads/detail/?ad_id=1861075218337793,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Τσίτσης Γιάννης (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-03-30; last shown: 2026-03-31 · Advertiser handle: @tsitsis_channel · Detected via TikTok Research API ad_id=1861075218337793"
https://library.tiktok.com/ads/detail/?ad_id=1864897530607937,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χατζησταύρου Δήμητρα (ΑΜΔΗ, Λεμεσός) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-11; last shown: 2026-05-12 · Advertiser handle: @deme2023 · Detected via TikTok Research API ad_id=1864897530607937"
https://library.tiktok.com/ads/detail/?ad_id=1846593017688129,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χρυσάνθου Λοΐζος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-10-21; last shown: 2025-10-22 · Advertiser handle: @loizos_chrysanthou · Detected via TikTok Research API ad_id=1846593017688129"
